url_length,num_dots,num_hyphens,num_digits,num_special_chars,num_slashes,url_depth,domain_length,subdomain_count,has_ip_address,tld_suspicious,tld_in_path,has_at_symbol,has_double_slash,https_token_in_domain,url_entropy,digit_ratio,letter_ratio,path_length,query_length,num_query_params,fragment_present,brand_in_subdomain,brand_in_path,suspicious_words_count,has_port,is_https,domain_has_hyphen,num_subdomains_gt2,url_has_encoded_chars,brand_typosquat,brand_exact_in_domain,label
76,9,6,13,7,10,3,36,1,0,0,0,1,0,1,5.097470984388043,0.3253527920282326,0.6379665646447905,26,43,3,0,1,1,8,0,0,1,0,0,0,1,1
217,6,5,14,2,8,3,38,3,0,0,0,0,0,1,3.98189010746966,0.26649672417907677,0.4294182721678094,59,53,6,0,0,1,5,0,0,1,1,0,1,1,1
212,3,7,20,12,9,5,37,2,0,1,1,1,0,1,4.591330549073664,0.367749600095609,0.5721514120002067,74,45,3,0,1,1,4,1,1,0,1,1,1,1,1
142,6,6,6,9,8,7,44,3,0,0,1,1,1,0,4.446628122351942,0.15644512266176064,0.5253656712861772,85,12,3,0,1,1,6,0,1,1,1,0,0,0,1
146,5,7,24,5,10,4,37,4,0,1,0,0,1,1,4.6109073965186544,0.16187047402873112,0.6498149994323315,51,1,5,0,1,1,2,0,1,1,1,1,1,1,1
170,9,2,7,9,10,4,26,4,0,1,0,1,0,1,4.895829318150401,0.1289554999728535,0.5203304157933561,66,39,3,0,1,1,8,0,0,1,1,0,0,1,1
117,7,4,6,10,9,3,25,1,0,0,1,0,1,1,4.576793457148077,0.22982279935185357,0.6404264100963446,66,36,5,0,0,1,6,1,0,1,1,1,0,0,1
157,3,7,21,13,5,8,21,3,0,0,0,0,1,0,4.167444722292011,0.4278846026868227,0.4343397012519896,22,9,0,1,1,1,7,0,1,1,0,0,1,1,1
237,3,3,8,5,5,3,36,4,0,1,0,1,0,0,4.834577605481758,0.14587021304505965,0.3933138312776206,28,45,6,0,1,1,5,0,1,0,1,0,0,1,1
185,9,2,19,7,4,8,22,3,0,0,0,0,1,1,4.961200060835831,0.37888598091380654,0.43142425968825177,43,42,5,0,1,1,6,0,1,1,0,1,1,1,1
248,9,7,21,14,4,8,19,2,1,0,0,1,0,1,4.198608115273109,0.1537646883172205,0.3904215222828742,61,43,0,1,1,1,5,0,1,1,1,0,0,1,1
172,7,3,22,5,5,4,35,3,0,1,0,0,1,0,3.8727466130511456,0.4236946541563217,0.3846895995529564,78,67,5,0,0,1,8,0,0,1,1,0,0,1,1
208,6,6,17,5,6,3,21,2,0,1,0,0,0,1,4.760040683638324,0.20390676609994984,0.6821002743503691,53,53,6,0,1,1,8,0,0,1,0,1,0,1,1
221,8,6,14,13,11,3,43,3,1,0,1,0,1,0,4.921237846519135,0.3077887015632239,0.6239184366203414,89,63,6,0,1,1,8,0,1,1,1,1,1,0,1
234,10,5,14,5,8,3,43,4,1,1,0,0,0,0,4.267092861659533,0.4144282915765375,0.6168862514747282,28,50,1,0,1,1,8,0,1,1,0,0,0,0,1
88,8,5,6,6,9,8,18,3,0,1,0,0,1,0,4.760534911147628,0.104305940061011,0.5090112866446113,70,66,3,0,1,1,4,0,0,1,0,0,1,0,1
68,3,6,24,2,9,3,35,3,0,1,1,1,0,1,5.07489351798324,0.3296941637646216,0.36265694867314363,26,0,0,1,1,0,8,0,1,0,0,0,0,0,1
105,7,2,13,4,4,3,36,3,0,1,0,1,0,1,4.17906225184492,0.34846664404845634,0.6930716747145386,72,48,3,0,1,0,2,0,1,1,1,0,1,0,1
108,8,8,16,7,5,4,43,3,0,1,0,0,1,0,4.3656481470370725,0.26595905531891634,0.3917261341692106,41,77,0,0,1,1,7,0,1,1,1,0,1,1,1
176,5,4,14,8,5,4,20,3,0,0,0,0,0,0,4.568802137039551,0.25099636831296157,0.56910436832937,56,28,6,0,0,0,5,0,0,0,1,0,1,1,1
70,3,8,21,12,4,3,25,3,0,1,0,1,0,0,4.321166202468167,0.15376451467122218,0.5602941427807783,43,53,0,0,0,0,5,0,0,0,1,0,1,1,1
206,9,5,13,4,9,3,29,4,0,1,0,0,1,1,4.349601802178688,0.12801724927616476,0.6143655604781606,22,34,3,1,1,0,5,1,1,1,1,0,1,1,1
111,5,7,21,13,9,6,35,2,0,1,0,0,0,0,4.4756015120222115,0.3690196563107827,0.6482054309084091,66,29,3,0,1,0,4,0,0,1,1,0,0,1,1
124,3,4,10,4,6,3,34,4,0,1,0,1,1,0,4.687277682296968,0.44363208163988743,0.5671251983803154,81,38,6,0,0,0,7,0,0,1,0,1,1,0,1
139,11,2,24,4,6,7,37,4,0,1,1,0,0,0,4.450962838671114,0.4422709426758441,0.49405160076792093,72,5,5,1,1,0,3,0,1,1,1,1,0,0,1
235,8,7,4,13,9,7,28,4,1,1,0,0,1,0,4.748202359110156,0.11036255119501463,0.49047444514368577,68,71,4,0,0,1,6,0,1,1,1,1,0,1,1
